case_id,template,gate,score,novelty,assertion_id,signature
gen_char_fine_compare_001,char_fine_compare,VALID,1.0,1.0,CH_COMPARE_WRONG_INDEX,5a5fc128809d14f2
gen_char_fine_compare_002,char_fine_compare,VALID,0.8243,0.7071,CH_COMPARE_WRONG_INDEX,5a5fc128809d14f2
gen_char_fine_compare_003,char_fine_compare,VALID,0.7464,0.5774,CH_COMPARE_WRONG_INDEX,5a5fc128809d14f2
gen_char_fine_compare_004,char_fine_compare,VALID,0.7,0.5,CH_COMPARE_WRONG_INDEX,5a5fc128809d14f2
gen_char_fine_compare_005,char_fine_compare,VALID,0.6683,0.4472,CH_COMPARE_WRONG_INDEX,5a5fc128809d14f2
gen_char_format_extract_001,char_format_extract,VALID,1.0,1.0,CH_FORMAT_WRONG_FIELD,2d9e1b04e94d9cc8
gen_char_format_extract_002,char_format_extract,VALID,0.8243,0.7071,CH_FORMAT_WRONG_FIELD,2d9e1b04e94d9cc8
gen_char_format_extract_003,char_format_extract,VALID,0.7464,0.5774,CH_FORMAT_WRONG_FIELD,2d9e1b04e94d9cc8
gen_char_format_extract_004,char_format_extract,VALID,0.7,0.5,CH_FORMAT_WRONG_FIELD,2d9e1b04e94d9cc8
gen_char_format_extract_005,char_format_extract,VALID,0.6683,0.4472,CH_FORMAT_WRONG_FIELD,2d9e1b04e94d9cc8
gen_char_letter_count_001,char_letter_count,VALID,1.0,1.0,CH_LETTER_WRONG_COUNT,c102c0cd9b3c445a
gen_char_letter_count_002,char_letter_count,VALID,0.8243,0.7071,CH_LETTER_WRONG_COUNT,c102c0cd9b3c445a
gen_char_letter_count_003,char_letter_count,VALID,0.7464,0.5774,CH_LETTER_WRONG_COUNT,c102c0cd9b3c445a
gen_char_letter_count_004,char_letter_count,VALID,0.7,0.5,CH_LETTER_WRONG_COUNT,c102c0cd9b3c445a
gen_char_letter_count_005,char_letter_count,VALID,0.6683,0.4472,CH_LETTER_WRONG_COUNT,c102c0cd9b3c445a
gen_char_substring_overlap_001,char_substring_overlap,VALID,1.0,1.0,CH_SUBSTR_WRONG_COUNT,839c242939b2b24f
gen_char_substring_overlap_002,char_substring_overlap,VALID,0.8243,0.7071,CH_SUBSTR_WRONG_COUNT,839c242939b2b24f
gen_char_substring_overlap_003,char_substring_overlap,VALID,0.7464,0.5774,CH_SUBSTR_WRONG_COUNT,839c242939b2b24f
gen_char_substring_overlap_004,char_substring_overlap,VALID,0.7,0.5,CH_SUBSTR_WRONG_COUNT,839c242939b2b24f
gen_char_substring_overlap_005,char_substring_overlap,VALID,0.6683,0.4472,CH_SUBSTR_WRONG_COUNT,839c242939b2b24f
gen_state_conditional_write_001,state_conditional_write,VALID,1.0,1.0,SD_COND_WRONG_VALUE,fa9f673203ec400f
gen_state_conditional_write_002,state_conditional_write,VALID,0.8243,0.7071,SD_COND_WRONG_VALUE,fa9f673203ec400f
gen_state_conditional_write_003,state_conditional_write,VALID,0.7464,0.5774,SD_COND_WRONG_VALUE,fa9f673203ec400f
gen_state_conditional_write_004,state_conditional_write,VALID,0.7,0.5,SD_COND_WRONG_VALUE,fa9f673203ec400f
gen_state_conditional_write_005,state_conditional_write,VALID,0.6683,0.4472,SD_COND_WRONG_VALUE,fa9f673203ec400f
gen_state_overwrite_protection_001,state_overwrite_protection,VALID,1.0,1.0,SD_PROTECT_OVERWRITTEN,4c1809d6d4eb3d65
gen_state_overwrite_protection_002,state_overwrite_protection,VALID,0.8243,0.7071,SD_PROTECT_OVERWRITTEN,4c1809d6d4eb3d65
