actions,answer,assertion_id,case_id,detail,elapsed_s,gate,model,novelty,score,signature,tags,template
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",0,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_001,,2.158,VALID,qwen0p5,1.0,1.0,011c5130783dc09c,"character_level,fine_grained_compare",char_fine_compare
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",0,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_002,,1.689,VALID,qwen0p5,0.7071,0.8243,011c5130783dc09c,"character_level,fine_grained_compare",char_fine_compare
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",0,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_003,,1.893,VALID,qwen0p5,0.5774,0.7464,011c5130783dc09c,"character_level,fine_grained_compare",char_fine_compare
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",0,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_004,,1.765,VALID,qwen0p5,0.5,0.7,011c5130783dc09c,"character_level,fine_grained_compare",char_fine_compare
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",0,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_005,,1.729,VALID,qwen0p5,0.4472,0.6683,011c5130783dc09c,"character_level,fine_grained_compare",char_fine_compare
"{'file_read': 12, 'MAX_STEPS': 1}",,CH_FORMAT_WRONG_FIELD,gen_char_format_extract_001,,10.92,VALID,qwen0p5,1.0,1.0,ce46b94887b2d907,"character_level,format_extraction",char_format_extract
"{'file_read': 12, 'MAX_STEPS': 1}",,CH_FORMAT_WRONG_FIELD,gen_char_format_extract_002,,9.319,VALID,qwen0p5,0.7071,0.8243,ce46b94887b2d907,"character_level,format_extraction",char_format_extract
"{'file_read': 12, 'MAX_STEPS': 1}",,CH_FORMAT_WRONG_FIELD,gen_char_format_extract_003,,8.765,VALID,qwen0p5,0.5774,0.7464,ce46b94887b2d907,"character_level,format_extraction",char_format_extract
"{'file_read': 12, 'MAX_STEPS': 1}",,CH_FORMAT_WRONG_FIELD,gen_char_format_extract_004,,10.298,VALID,qwen0p5,0.5,0.7,ce46b94887b2d907,"character_level,format_extraction",char_format_extract
"{'file_read': 12, 'MAX_STEPS': 1}",,CH_FORMAT_WRONG_FIELD,gen_char_format_extract_005,,6.955,VALID,qwen0p5,0.4472,0.6683,ce46b94887b2d907,"character_level,format_extraction",char_format_extract
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",1,CH_LETTER_WRONG_COUNT,gen_char_letter_count_001,,1.554,VALID,qwen0p5,1.0,1.0,5be9b8e91b6bd394,"character_level,letter_count",char_letter_count
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",1,CH_LETTER_WRONG_COUNT,gen_char_letter_count_002,,1.45,VALID,qwen0p5,0.7071,0.8243,5be9b8e91b6bd394,"character_level,letter_count",char_letter_count
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",1,CH_LETTER_WRONG_COUNT,gen_char_letter_count_003,,1.349,VALID,qwen0p5,0.5774,0.7464,5be9b8e91b6bd394,"character_level,letter_count",char_letter_count
"{'kv_get': 12, 'MAX_STEPS': 1}",,CH_LETTER_WRONG_COUNT,gen_char_letter_count_004,,9.314,VALID,qwen0p5,1.0,1.0,71f3e815b5da74bb,"character_level,letter_count",char_letter_count
"{'kv_get': 1, 'file_append': 1, 'FINISH': 1}",4,CH_LETTER_WRONG_COUNT,gen_char_letter_count_005,,1.416,VALID,qwen0p5,0.5,0.7,5be9b8e91b6bd394,"character_level,letter_count",char_letter_count
