actions,answer,assertion_id,case_id,detail,elapsed_s,gate,model,novelty,score,signature,tags,template
"{'kv_set': 1, 'FINISH': 1}",OK,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_001,,1.154,VALID,smollm360,1.0,1.0,c27fc2ddcf10c4e5,"character_level,fine_grained_compare",char_fine_compare
"{'kv_set': 1, 'FINISH': 1}",OK,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_002,,0.779,VALID,smollm360,0.7071,0.8243,c27fc2ddcf10c4e5,"character_level,fine_grained_compare",char_fine_compare
"{'kv_set': 1, 'FINISH': 1}",OK,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_003,,0.733,VALID,smollm360,0.5774,0.7464,c27fc2ddcf10c4e5,"character_level,fine_grained_compare",char_fine_compare
"{'kv_set': 1, 'FINISH': 1}",MTYBPLGNND,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_004,,0.832,VALID,smollm360,0.5,0.7,c27fc2ddcf10c4e5,"character_level,fine_grained_compare",char_fine_compare
"{'kv_set': 1, 'FINISH': 1}",ok,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_005,,0.751,VALID,smollm360,0.4472,0.6683,c27fc2ddcf10c4e5,"character_level,fine_grained_compare",char_fine_compare
"{'kv_set': 1, 'FINISH': 1}",y10c,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_001,no failure reproduced,0.716,AGENT_PASSED,smollm360,,0.0,,"character_level,format_extraction",char_format_extract
"{'kv_set': 1, 'FINISH': 1}",ok,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_002,,0.699,VALID,smollm360,1.0,1.0,b6e6629d692e4f2c,"character_level,format_extraction",char_format_extract
"{'kv_set': 1, 'FINISH': 1}",OK,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_003,,0.671,VALID,smollm360,0.7071,0.8243,b6e6629d692e4f2c,"character_level,format_extraction",char_format_extract
"{'kv_set': 1, 'FINISH': 1}",OK,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_004,,0.671,VALID,smollm360,0.5774,0.7464,b6e6629d692e4f2c,"character_level,format_extraction",char_format_extract
"{'kv_set': 1, 'FINISH': 1}",y66c,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_005,no failure reproduced,0.757,AGENT_PASSED,smollm360,,0.0,,"character_level,format_extraction",char_format_extract
"{'kv_get': 12, 'MAX_STEPS': 1}",,CH_LETTER_WRONG_COUNT,gen_char_letter_count_001,,9.325,VALID,smollm360,1.0,1.0,71f3e815b5da74bb,"character_level,letter_count",char_letter_count
"{'kv_get': 12, 'MAX_STEPS': 1}",,CH_LETTER_WRONG_COUNT,gen_char_letter_count_002,,8.574,VALID,smollm360,0.7071,0.8243,71f3e815b5da74bb,"character_level,letter_count",char_letter_count
